feature,importance
sg,2.060517400910784
hemo,1.6006631627986125
al,1.293656942326399
pcv,1.0414391301632924
rbcc,0.8539838139472752
htn_no,0.8131985278982818
htn_yes,0.8104250054389152
dm_no,0.7316560668579696
dm_yes,0.7288825443986039
appet_good,0.7131446377590451
appet_poor,0.7103711152996794
su,0.6749680607965206
sc,0.6363204478831347
bgr,0.6337026647172084
sod,0.5086922173720748
bu,0.5041517260350814
pe_no,0.35751460258900625
age,0.35511335497616436
pe_yes,0.35474108012964084
bp,0.31734695977816985
rbc_normal,0.23426163683432338
rbc_abnormal,0.23148811437495836
wbcc,0.21667601719745963
pc_normal,0.15295068976868592
pc_abnormal,0.15017716730932013
ane_no,0.13745141643423542
ane_yes,0.1346778939748703
pcc_notpresent,0.08525895039597317
pcc_present,0.08248542793660749
pot,0.06693499451620502
ba_notpresent,0.03765680440340672
ba_present,0.034883281944041604
cad_no,0.01641951782687008
cad_yes,0.013645995367504672
